Result,Margin,Runs/Wickets,Home/Away,Ground,Match Date,Match Month,Match Year,Match Period,Matches,Country,Opponent Team
Lost,5,wickets,Away,Dambulla,23-03-2001,Mar,2001,Mar-01,1,England,SriLanka
Lost,66,runs,Away,Colombo (RPS),25-03-2001,Mar,2001,Mar-01,1,England,SriLanka
Lost,10,wickets,Away,Colombo (SSC),27-03-2001,Mar,2001,Mar-01,1,England,SriLanka
Lost,108,runs,Home,Birmingham,07-06-2001,Jun,2001,Jun-01,1,England,Pakistan
Lost,5,wickets,Home,Bristol,10-06-2001,Jun,2001,Jun-01,1,England,Australia
Lost,2,runs,Home,Lord's,12-06-2001,Jun,2001,Jun-01,1,England,Pakistan
Lost,125,runs,Home,Manchester,14-06-2001,Jun,2001,Jun-01,1,England,Australia
Lost,8,wickets,Home,The Oval,21-06-2001,Jun,2001,Jun-01,1,England,Australia
Won,5,wickets,Away,Harare,03-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,8,wickets,Away,Harare,06-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,4,wickets,Away,Harare,07-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,70,runs,Away,Bulawayo,10-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Won,7,wickets,Away,Bulawayo,13-10-2001,Oct,2001,Oct-01,1,England,Zimbabwe
Lost,22,runs,Away,Kolkata,19-01-2002,Jan,2002,Jan-02,1,England,India
Won,16,runs,Away,Cuttack,22-01-2002,Jan,2002,Jan-02,1,England,India
Lost,4,wickets,Away,Chennai,25-01-2002,Jan,2002,Jan-02,1,England,India
Lost,8,wickets,Away,Kanpur,28-01-2002,Jan,2002,Jan-02,1,England,India
Won,2,runs,Away,Delhi,31-01-2002,Jan,2002,Jan-02,1,England,India
Won,5,runs,Away,Mumbai,03-02-2002,Feb,2002,Feb-02,1,England,India
Lost,4,wickets,Away,Christchurch,13-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Lost,155,runs,Away,Wellington,16-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Won,43,runs,Away,Napier,20-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Won,33,runs,Away,Auckland,23-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Lost,5,wickets,Away,Dunedin,26-02-2002,Feb,2002,Feb-02,1,England,NewZealand
Won,44,runs,Home,Nottingham,27-06-2002,Jun,2002,Jun-02,1,England,SriLanka
Lost,6,wickets,Home,Lord's,29-06-2002,Jun,2002,Jun-02,1,England,India
Won,3,wickets,Home,Leeds,02-07-2002,Jul,2002,Jul-02,1,England,SriLanka
Lost,23,runs,Home,Manchester,07-07-2002,Jul,2002,Jul-02,1,England,SriLanka
Won,64,runs,Home,The Oval,09-07-2002,Jul,2002,Jul-02,1,England,India
Lost,2,wickets,Home,Lord's,13-07-2002,Jul,2002,Jul-02,1,England,India
Won,108,runs,Home,Colombo (RPS),18-09-2002,Sep,2002,Sep-02,1,England,Zimbabwe
Lost,8,wickets,Home,Colombo (RPS),22-09-2002,Sep,2002,Sep-02,1,England,India
Lost,7,wickets,Away,Sydney,13-12-2002,Dec,2002,Dec-02,1,England,Australia
Lost,89,runs,Away,Melbourne,15-12-2002,Dec,2002,Dec-02,1,England,Australia
Won,43,runs,Home,Brisbane,17-12-2002,Dec,2002,Dec-02,1,England,SriLanka
Won,95,runs,Home,Perth,20-12-2002,Dec,2002,Dec-02,1,England,SriLanka
Lost,7,runs,Away,Hobart,11-01-2003,Jan,2003,Jan-03,1,England,Australia
Lost,31,runs,Home,Sydney,13-01-2003,Jan,2003,Jan-03,1,England,SriLanka
Won,19,runs,Home,Adelaide,17-01-2003,Jan,2003,Jan-03,1,England,SriLanka
Lost,4,wickets,Away,Adelaide,19-01-2003,Jan,2003,Jan-03,1,England,Australia
Lost,10,wickets,Away,Sydney,23-01-2003,Jan,2003,Jan-03,1,England,Australia
Lost,5,runs,Away,Melbourne,25-01-2003,Jan,2003,Jan-03,1,England,Australia
Won,6,wickets,Home,East London,16-02-2003,Feb,2003,Feb-03,1,England,Netherlands
Won,55,runs,Home,Port Elizabeth,19-02-2003,Feb,2003,Feb-03,1,England,Namibia
Won,112,runs,Home,Cape Town,22-02-2003,Feb,2003,Feb-03,1,England,Pakistan
Lost,82,runs,Home,Durban,26-02-2003,Feb,2003,Feb-03,1,England,India
Lost,2,wickets,Away,Port Elizabeth,02-03-2003,Mar,2003,Mar-03,1,England,Australia
Lost,2,wickets,Home,Manchester,17-06-2003,Jun,2003,Jun-03,1,England,Pakistan
Won,7,wickets,Home,The Oval,20-06-2003,Jun,2003,Jun-03,1,England,Pakistan
Won,4,wickets,Home,Lord's,22-06-2003,Jun,2003,Jun-03,1,England,Pakistan
Lost,4,wickets,Home,Nottingham,26-06-2003,Jun,2003,Jun-03,1,England,Zimbabwe
Won,6,wickets,Home,The Oval,28-06-2003,Jun,2003,Jun-03,1,England,SouthAfrica
Lost,7,wickets,Home,Manchester,03-07-2003,Jul,2003,Jul-03,1,England,SouthAfrica
Won,6,wickets,Home,Bristol,06-07-2003,Jul,2003,Jul-03,1,England,Zimbabwe
Won,4,wickets,Home,Birmingham,08-07-2003,Jul,2003,Jul-03,1,England,SouthAfrica
Won,7,wickets,Home,Lord's,12-07-2003,Jul,2003,Jul-03,1,England,SouthAfrica
Won,7,wickets,Away,Chattogram,07-11-2003,Nov,2003,Nov-03,1,England,Bangladesh
Won,7,wickets,Away,Dhaka,10-11-2003,Nov,2003,Nov-03,1,England,Bangladesh
Won,7,wickets,Away,Dhaka,12-11-2003,Nov,2003,Nov-03,1,England,Bangladesh
Lost,10,wickets,Away,Dambulla,18-11-2003,Nov,2003,Nov-03,1,England,SriLanka
Won,2,wickets,Away,Georgetown,18-04-2004,Apr,2004,Apr-04,1,England,WestIndies
Lost,5,wickets,Away,Gros Islet,01-05-2004,May,2004,May-04,1,England,WestIndies
Lost,4,wickets,Away,Gros Islet,02-05-2004,May,2004,May-04,1,England,WestIndies
Won,5,wickets,Away,Bridgetown,05-05-2004,May,2004,May-04,1,England,WestIndies
Lost,7,wickets,Home,Nottingham,27-06-2004,Jun,2004,Jun-04,1,England,WestIndies
Lost,7,wickets,Home,Chester-le-Street,29-06-2004,Jun,2004,Jun-04,1,England,NewZealand
Won,7,wickets,Home,Leeds,01-07-2004,Jul,2004,Jul-04,1,England,WestIndies
Lost,6,wickets,Home,Bristol,04-07-2004,Jul,2004,Jul-04,1,England,NewZealand
Lost,7,wickets,Home,Lord's,06-07-2004,Jul,2004,Jul-04,1,England,WestIndies
Won,7,wickets,Home,Nottingham,01-09-2004,Sep,2004,Sep-04,1,England,India
Won,70,runs,Home,The Oval,03-09-2004,Sep,2004,Sep-04,1,England,India
Lost,23,runs,Home,Lord's,05-09-2004,Sep,2004,Sep-04,1,England,India
Won,152,runs,Home,Birmingham,10-09-2004,Sep,2004,Sep-04,1,England,Zimbabwe
Won,49,runs,Home,Southampton,17-09-2004,Sep,2004,Sep-04,1,England,SriLanka
Won,6,wickets,Home,Birmingham,21-09-2004,Sep,2004,Sep-04,1,England,Australia
Lost,2,wickets,Home,The Oval,25-09-2004,Sep,2004,Sep-04,1,England,WestIndies
Won,5,wickets,Away,Harare,28-11-2004,Nov,2004,Nov-04,1,England,Zimbabwe
Won,161,runs,Away,Harare,01-12-2004,Dec,2004,Dec-04,1,England,Zimbabwe
Won,8,wickets,Away,Bulawayo,04-12-2004,Dec,2004,Dec-04,1,England,Zimbabwe
Won,74,runs,Away,Bulawayo,05-12-2004,Dec,2004,Dec-04,1,England,Zimbabwe
Won,26,runs,Away,Johannesburg,30-01-2005,Jan,2005,Jan-05,1,England,SouthAfrica
Lost,3,wickets,Away,Port Elizabeth,04-02-2005,Feb,2005,Feb-05,1,England,SouthAfrica
Lost,108,runs,Away,Cape Town,06-02-2005,Feb,2005,Feb-05,1,England,SouthAfrica
